1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
73	2-新選正字宋太祖下南唐（正字宋太祖下南唐全本）四集十六卷（缺卷二）	/	廣州圖書館	殘缺	/	南音-木魚書	144	按：兩者底本同，1全，2殘缺，建議收1。354為357一集二集前，144為357二集後與三集前，287為三集後、四集。內容合起來正好與357內容同（分冊不一致）。
74	1-新選大宋二下南唐全本（新出南音二下南唐）四卷	以文堂據丹柱堂刻本改板印行	首都圖書館	全	選	南音-木魚書	60	按：1與2兩者內容、版式，字跡字體同，疑底本同。1底本全，但底本字跡有些地方有些模糊。2僅存卷四，底本較清晰。綜合底本完整度建議選1.
75	2-新選大宋二下南唐全本（二下南唐）四卷（存卷四）	佛山芹香閣板	中山大學中國非物質文化遺產研究中心	缺	/	南音-木魚書	16	按：1與2兩者內容、版式，字跡字體同，疑底本同。1底本全，但底本字跡有些地方有些模糊。2僅存卷四，底本較清晰。綜合底本完整度建議選1.
76	3-二下南唐四卷	佛山芹香閣板	俗文學叢刊448冊	/	/	南音-木魚書	/	按：1與2兩者內容、版式，字跡字體同，疑底本同。1底本全，但底本字跡有些地方有些模糊。2僅存卷四，底本較清晰。綜合底本完整度建議選1.
77	二下南唐四卷	莞城萃英樓木刻本	東莞張鐵文先生鐵文軒	/	/	/	57頁	未徵集
78	1-後續三下南唐全本四卷	佛山芹香閣板	廣東省立中山圖書館	全	選	/	69	倆底本同，2缺卷三前封面與卷四P16，選1。另北師大有五桂堂本。
79	2-後續三下南唐全本四卷	佛山芹香閣板	中山大學中國非物質文化遺產研究中心	殘	/	南音-木魚書	67	倆底本同，2缺卷三前封面與卷四P16，選1。另北師大有五桂堂本。
80	1-新刻四下南唐尾花解語全本（接續四下南唐全本）四卷	東莞翠英樓刻本	日本松浦恒雄	全	選	南音-木魚書	54	按：兩者內容同，但2不全。另2前66頁為三下南唐內容。具體見144。 北師大有五桂堂本。
81	2-新刻四下南唐尾花解語全本四卷	佛山芹香閣板	中山大學中國非物質文化遺產研究中心	殘	/	南音-木魚書	66	下南塘系列同底本似乎何以合併一起。
82	3-四下南唐四卷	佛山芹香閣板	俗文學叢刊448冊	/	/	南音-木魚書	/	/
83	大百八鍾	廣州以文堂	俗文學叢刊476冊	/	/	南音-木魚書	64	與原百八鍾內容不同。
84	大快活開廳	廣州五桂堂 機器版	廣東省立中山圖書館	全	選	龍舟歌	3	/
85	大粒煙嘆五更	機器版	廣東省立中山圖書館	全	選	龍舟歌	3	/
86	大閙老舉	廣州五桂堂 機器版	廣東省立中山圖書館	全	選	龍舟歌	3	/
87	三次改良大閙發瘋婆（大閙發瘋婆）	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	4	/
88	大鬧花燈記	莞城萃英樓板	俗文學叢刊440冊	/	/	南音	/	/
89	大鬧煙公	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
90	大鬧鴉片佬	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
91	上半年同心	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
92	小皇和琴	廣州以文堂板	俗文學叢刊414冊（小王和琴）	/	/	龍舟歌	/	卷端：小王和琴
93	1-柔佛巴魯伯訪友（山伯訪友）	廣文堂刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	4	按：2與3同，3底本稍好。第1與2與3字多有別，建議收錄1與3。
94	2-梁山伯訪友（山伯訪友）	廣州醉經書局機器板	廣東省立中山圖書館	全	/	龍舟歌	3	按：2與3同，3底本稍好。第1與2與3字多有別，建議收錄1與3。
95	3-山伯訪友	五桂堂機器板	首都圖書館	全	選	龍舟歌	3	按：2與3同，3底本稍好。第1與2與3字多有別，建議收錄1與3。
96	乞米養家婆現眼報	廣州以文堂	俗文學叢刊419冊	全	/	龍舟歌	12	封面：現眼報
97	新本乞米養家婆	佛山芹香閣板	順德區圖書館	全	/	龍舟歌	/	未檢查
98	子弟安花四句（子弟安花千字文句語）	五桂堂藏板	廣東省立中山圖書館	全	待定	/	4	疑非此類。
99	子弟唱錦	廣州五桂堂機器板	順德區圖書館	/	/	/	35	未檢查
100	王允獻貂蟬	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
101	王公賣仔一卷	鉛印本	鐵文軒	/	/	木魚書	97	未徵集
102	新刻王爺搶新包文拯明鏡判斷（新刻田管都全傳）	道光乙巳刊本聚遠樓刊本	中山大學中國非物質文化遺產研究中心	/	待定	/	/	疑非此類。
103	1新刻井底結釵全本（井底結釵）六卷	東莞翠英樓刻本	英國倫敦大學亞非學院圖書館	缺	/	南音-木魚書	88	按：二者底本同，底本均較好，但1漏掃兩半頁，建議用2。
104	2新刻井底結釵全本（井底結釵）六卷	以文堂據翠英樓刻本改板印行	中山大學中國非物質文化遺產研究中心	全	選	南音-木魚書	89	按：二者底本同，底本均較好，但1漏掃兩半頁，建議用2。
105	特別打天九歌（天九歌）	香港五桂堂，機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	/
106	打天九歌	廣州成文堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
107	天九歌	廣州以文堂機器板	鐵文軒	全	/	/	3	未徵集
108	1天臺三寶驪珠記二集十二卷	佛山文光樓	廣東省立中山圖書館	缺	待定	南音-木魚書	171	兩書內容同，藏本與刻書機構不同，1缺前集卷二P13-14，2缺前集卷三、後集卷六。俗：廣州五桂堂板。選1還是用“俗”補2？請定。另吉大有近文堂本。
109	2新本袁青嬋金玉嬋宋月容相知還陽配合田生天臺三寶驪珠記全本（新選驪珠記全本）前後集十二卷  少岩半醒居士撰	五桂堂板	中山大學中國非物質文化遺產研究中心	缺	待定	南音-木魚書	139	兩書內容同，藏本與刻書機構不同，1缺前集卷二P13-14，2缺前集卷三、後集卷六。俗：廣州五桂堂板。選1還是用“俗”補2？請定。另吉大有近文堂本。
110	新刻天地玄黃山歌（天地玄黃山歌本）	佛山保安堂民國乙未刊本	中山大學中國非物質文化遺產研究中心	全	/	待定	7	疑非此類。
111	天奇告狀	以文堂板	俗文學叢刊418冊	/	/	龍舟歌	3	/
112	天官賜福十錦包心	醉經堂板	俗文學叢刊417冊	/	/	龍舟歌	3	上圖有此底本
113	新刻天賜花裙全本（天賜花裙）四卷（缺卷二）	五桂堂據丹柱堂刻本改板印行刻本	中山大學中國非物質文化遺產研究中心	缺	選	南音	45	建議用1，卷二用俗文學本補。
114	天賜花裙四卷	廣州五桂堂·丹柱堂	俗文學叢刊465冊	/	補	南音	/	建議用1，卷二用俗文學本補。
115	五色神旗四集十六卷	醉經堂據丹柱堂刻本改板印行	中山大學圖書館	全	兩者參補	南音-木魚書	300	底本同，兩者各有殘缺，可互補。另北師大、復旦有，未知全否？國圖有醉經堂本。
116	五色神旗四集十六卷	醉經堂據丹柱堂刻本改板印行	英國倫敦大學亞非學院圖書館	全	兩者參補	南音-木魚書	299	底本同，兩者各有殘缺，可互補。另北師大、復旦有，未知全否？國圖有醉經堂本。
117	1-新選五色荷花全本六卷（缺卷二卷五）	東莞萃英樓刻本	廣州圖書館	缺	/	南音-木魚書	73	用俗文獻本？
118	2-新選五色荷花全本六卷	廣州五桂堂	俗文學叢刊470冊	/	選	南音-木魚書	/	復旦有翰文堂、吉大有五桂堂本
119	1-新編造五色蘭花全本（五色蘭花）四卷	五桂堂機器板	佛山市博物館	全	選	南音	73	按：1與2底本同，1全且底本較好，建議選1。
120	2-新造五色蘭花全本（五色蘭花）四卷（存卷四）	五桂堂據萃英樓刊本重印正文刻本	中山大學中國非物質文化遺產研究中心	缺	/	南音	/	按：1與2底本同，1全且底本較好，建議選1。
121	1-新選全本五虎平西（五虎平西）五集二十卷 閒情居士訂	佛山芹香閣據脩竹齋刻本改板印行刻本	中山大學中國非物質文化遺產研究中心	全	選	南音-木魚書	352	用1，殘缺之處可用俗文學補。
122	2-五虎平西五集二十卷	佛山芹香閣·脩竹齋	俗文學叢刊457~458冊	/	/	南音-木魚書	/	用1，殘缺之處可用俗文學補。
123	1-新選全本五虎平南（五虎平南）四集二十卷	五桂堂據丹柱堂刻本改板印行刻本	中山大學圖書館	全	選	南音-木魚書	283	按：兩底本同，但2缺卷嚴重。建議用1。
124	2-新選全本五虎平南（五虎平南）四集二十卷	以文堂據丹柱堂刊本改板印行	中山大學中國非物質文化遺產研究中心	/	/	南音-木魚書	174	五虎平西續集。
125	五拜廟	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	3	/
126	五員過關二卷	廣州以文堂丹柱堂藏版	俗文學叢刊429冊	/	/	南音	16	封面：以文堂
127	五想同心	以文堂	俗文學叢刊417冊	/	/	龍舟歌	3	/
128	1-五諫刁妻三卷（缺卷上）	醉經堂，機器板	廣州圖書館	殘	/	龍舟歌	6	正字龍舟五諫刁妻。1殘2全，用2。另國圖有成文堂本。
129	2-五諫刁妻三卷	省港五桂堂，機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	9	正字龍舟五諫刁妻。1殘2全，用2。另國圖有成文堂本。
130	3-五諫刁妻三卷	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	正字龍舟五諫刁妻。1殘2全，用2。另國圖有成文堂本。
131	新五諫妻（新出龍舟歌新五諫妻）	廣州醉經堂刻本	廣州圖書館	全	選	龍舟歌	8	比對與39差異。
132	五諫賢夫	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	8	未見，又稱五諫才郎
133	敕賜五顯華光大帝靈簽（華光靈簽）	五桂堂據丹柱堂刻本改板印行	法國陳慶浩	未檢查	待定	待定	26	傅斯年圖書館：俗文學-雜著-籤。疑非此類。廣東省立中山圖書館有五桂堂、醉經堂本
134	太子下漁舟	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	5	/
135	1太子下漁舟五集二十卷	五桂堂 機器版	中山大學圖書館	全	選	南音	248	1數據完整、字體清晰（部分版心未掃全），與2內容同。2五集卷四缺失稍多，其他缺一兩頁，但因底本本身頁碼標識有誤，致使有些地方未缺，卻被疑為缺頁。3與1同。另2個別字句與機器板有出入，兩者兼收還是用1。
136	2太子下漁舟初集	抄本（據五桂堂板）	廣東省立中山圖書館	殘	待定	南音	263	1數據完整、字體清晰（部分版心未掃全），與2內容同。2五集卷四缺失稍多，其他缺一兩頁，但因底本本身頁碼標識有誤，致使有些地方未缺，卻被疑為缺頁。3與1同。另2個別字句與機器板有出入，兩者兼收還是用1。
137	3太子下漁舟五集二十卷	五桂堂 機器板	廣州圖書館（09）	全	/	南音	248	1數據完整、字體清晰（部分版心未掃全），與2內容同。2五集卷四缺失稍多，其他缺一兩頁，但因底本本身頁碼標識有誤，致使有些地方未缺，卻被疑為缺頁。3與1同。另2個別字句與機器板有出入，兩者兼收還是用1。
138	日夜時辰	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	上圖有五桂堂本
139	水蛇容嘆五更	廣州以文堂板	俗文學叢刊417冊	/	/	龍舟歌	/	上圖有五桂堂本
140	水浸金山	廣州丹柱堂木刻本	鐵文軒	/	/	/	3	未徵集，水淹金山
141	1-新刻正字仁貴征東紅衣記全本（仁貴征東）四卷	省港五桂堂機器版	廣東省立中山圖書館	全	/	南音-木魚書	60	按：兩底本內容同、版式同，2底本更佳，建議用2.
142	2-新刻正字仁貴征東紅衣記全本（征東全）四卷	廣州醉經堂機器版	廣東省立中山圖書館	全	選	南音-木魚書	59	按：兩底本內容同、版式同，2底本更佳，建議用2.
143	1-後續仁貴征東丁山射雁全本（丁山射雁）四卷  馬學愚編	廣州五桂堂據舊本改板印行	廣東省立中山圖書館	全	/	南音	69	1與3-2重。3與3-1重複，3-1與3-2已刪。參照故事發生時間以“291-146-290”排序。
144	2-後續仁貴征東丁山射雁全本（丁山射雁）四卷	廣州醉經書局據舊本改板印行 機器板	廣州圖書館	全	選	南音	59	1底本較差且頁面有破損。2卷二P4有破損，底本較好。1與2內容同。3與上兩種內容不同，建議選2與3。
145	3-丁山射雁二卷	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	6	俗：廣州五桂堂機器板，廣州以文堂板。
146	新刻正字大唐仁貴征西全本（仁貴征西）四卷	廣州醉經堂機器版	廣東省立中山圖書館	全	選	南音-木魚書	61	211為續，要不要放在一起？復旦有以文堂本。
147	1-仁貴歸家四卷	五桂堂，機器板	廣東省立中山圖書館	全	/	龍舟歌	11	倆內容同（後者卷間加了書名頁）、藏板不同。前者各卷端著錄五桂堂機器板，後者前二卷標註堂藏板，後二卷標以文堂板。後者底本較好。如選底本，建議後者。俗：廣州以文堂機器板
